序號,英文名稱,中文名稱,中國大陸譯名,來源網站
471,malaria,瘧疾,疟疾,https://terms.naer.edu.tw/
472,male genital organ,男性生殖器官,男性生殖器,https://terms.naer.edu.tw/
473,malformation,畸形,畸形,https://terms.naer.edu.tw/
474,maltitol,麥芽糖醇；氫化麥芽糖,麦芽糖醇,https://terms.naer.edu.tw/
475,maltose,麥芽糖,麦芽糖,https://terms.naer.edu.tw/
476,mandible,下顎骨(獸)；上鰓(節足動物)；下頜(顎)骨,下颌骨,https://terms.naer.edu.tw/
477,masticatory muscles,咀嚼肌,咀嚼肌,https://terms.naer.edu.tw/
478,maternal mortality rate,母性死亡率；母親死亡率,孕产妇死亡率,https://terms.naer.edu.tw/
479,maxilla,上頜骨,上颌骨,https://terms.naer.edu.tw/
480,measles,麻疹,麻疹,https://terms.naer.edu.tw/
481,meconium,胎便,鸦片,https://terms.naer.edu.tw/
482,median cubital vein,肘正中靜脈,肘正中静脉,https://terms.naer.edu.tw/
483,median nerve,正中神經,正中神经,https://terms.naer.edu.tw/
484,mediastinum,縱膈；縱膈腔,纵隔,https://terms.naer.edu.tw/
485,Medical Doctor,醫學博士；醫學醫生,医师,https://terms.naer.edu.tw/
486,medical order,醫囑,医嘱,https://terms.naer.edu.tw/
487,medical record,醫學記錄；醫學資料；醫學數據；醫學錄音,病案,https://terms.naer.edu.tw/
